STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR   14065 FX        FX         33.12       2.000       2480.      0.8600

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   08:15:06  FEB 05, 2022 CP=  18087.781

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
   0.20000E-01   62.0986
   0.40000E-01   124.197
   0.60000E-01   186.296
   0.80000E-01   248.394
   0.10000       310.493
   0.12000       372.592
   0.14000       434.690
   0.16000       496.789
   0.18000       558.887
   0.20000       620.986
   0.22000       683.084
   0.24000       745.179
   0.26000       807.278
   0.28000       869.313
   0.30000       931.303
   0.32000       993.333
   0.34000       1055.29
   0.36000       1117.19
   0.38000       1178.89
   0.40000       1240.27
   0.42000       1301.34
   0.44000       1361.55
   0.46000       1420.20
   0.48000       1476.03
   0.50000       1531.00
   0.52000       1583.56
   0.54000       1641.26
   0.56000       1699.59
   0.58000       1757.81
   0.60000       1815.69
   0.62000       1873.99
   0.64000       1932.03
   0.66000       1990.16
   0.68000       2047.83
   0.70000       2105.18
   0.72000       2163.33
   0.74000       2220.94
   0.76000       2277.32
   0.78000       2333.29
   0.80000       2388.42
   0.82000       2438.80
   0.84000       2476.02
   0.86000       2480.50
   0.88000       2432.65
   0.90000       2357.88
   0.92000       2280.85
   0.94000       2122.40
   0.96000       1663.31
   0.98000       1456.80
    1.0000       1172.27

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   08:15:06  FEB 05, 2022 CP=  18087.781

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.0200       575.340
    1.0400       387.330
    1.0600       265.031
    1.0800       210.671
    1.1000       173.237
    1.1200       140.362
    1.1400       107.027
    1.1600       95.8036
    1.1800       88.2063
    1.2000       83.4111
    1.2200       77.1994
    1.2400       71.5435
    1.2600       66.3834
    1.2800       62.7436
    1.3000       59.8821
    1.3200       58.0273
    1.3400       55.7639
    1.3600       54.1116
    1.3800       53.0450
    1.4000       52.2408
    1.4200       51.4575
    1.4400       50.7858
    1.4600       48.2123
    1.4800       46.8162
    1.5000       46.2543
    1.5200       45.4334
    1.5400       44.8639
    1.5600       44.1455
    1.5800       44.1769
    1.6000       43.6670
    1.6200       43.3448
    1.6400       42.7612
    1.6600       41.5556
    1.6800       40.1736
    1.7000       39.8210
    1.7200       39.5354
    1.7400       39.3935
    1.7600       38.9214
    1.7800       38.7300
    1.8000       38.4620
    1.8200       38.0574
    1.8400       37.1836
    1.8600       36.1543
    1.8800       35.4157
    1.9000       35.4547
    1.9200       35.0151
    1.9400       34.4489
    1.9600       33.8439
    1.9800       33.6845
    1.9900       33.6801

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.0     18.0     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   08:15:06  FEB 05, 2022 CP=  18087.781

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.9950       33.5642
    1.9970       33.4755
    1.9985       33.2917
    2.0000       33.1189
