STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  2921 FX        FX         38.61       2.000       2777.       1.160

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:45:18  JAN 05, 2022 CP=   6390.234

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2921 FX
                  FX
   0.20000E-01   49.6432
   0.40000E-01   99.2864
   0.60000E-01   148.930
   0.80000E-01   198.573
   0.10000       248.216
   0.12000       297.859
   0.14000       347.502
   0.16000       397.146
   0.18000       446.789
   0.20000       496.432
   0.22000       546.075
   0.24000       595.719
   0.26000       645.362
   0.28000       695.005
   0.30000       744.617
   0.32000       793.986
   0.34000       843.384
   0.36000       892.783
   0.38000       942.119
   0.40000       991.446
   0.42000       1040.74
   0.44000       1090.10
   0.46000       1139.41
   0.48000       1188.76
   0.50000       1238.03
   0.52000       1287.44
   0.54000       1336.81
   0.56000       1386.10
   0.58000       1435.42
   0.60000       1484.72
   0.62000       1533.85
   0.64000       1582.91
   0.66000       1632.10
   0.68000       1681.24
   0.70000       1730.23
   0.72000       1779.33
   0.74000       1828.17
   0.76000       1876.90
   0.78000       1925.24
   0.80000       1973.41
   0.82000       2021.86
   0.84000       2070.37
   0.86000       2118.73
   0.88000       2167.07
   0.90000       2215.29
   0.92000       2263.11
   0.94000       2310.92
   0.96000       2358.87
   0.98000       2406.94
    1.0000       2454.84

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:45:18  JAN 05, 2022 CP=   6390.234

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2921 FX
                  FX
    1.0200       2502.74
    1.0400       2550.11
    1.0600       2597.39
    1.0800       2644.27
    1.1000       2691.23
    1.1200       2735.02
    1.1400       2771.67
    1.1600       2777.03
    1.1800       2738.17
    1.2000       2631.93
    1.2200       2381.24
    1.2400       2128.12
    1.2600       1814.72
    1.2800       1560.69
    1.3000       1141.40
    1.3200       553.212
    1.3400       244.180
    1.3600       138.480
    1.3800       111.615
    1.4000       98.1947
    1.4200       89.5251
    1.4400       83.2809
    1.4600       75.2121
    1.4800       68.9962
    1.5000       63.3504
    1.5200       59.1304
    1.5400       55.6693
    1.5600       53.1568
    1.5800       51.1607
    1.6000       49.1659
    1.6200       47.6774
    1.6400       45.6457
    1.6600       44.6326
    1.6800       42.3611
    1.7000       40.7183
    1.7200       40.3496
    1.7400       40.5905
    1.7600       40.9062
    1.7800       41.2506
    1.8000       41.6831
    1.8200       41.7004
    1.8400       41.7244
    1.8600       41.9357
    1.8800       42.2870
    1.9000       42.4263
    1.9200       42.6475
    1.9400       42.7668
    1.9600       42.0524
    1.9800       40.5594
    1.9900       40.3951

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:45:18  JAN 05, 2022 CP=   6390.234

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       2921 FX
                  FX
    1.9950       40.1418
    1.9970       39.8253
    1.9985       38.9491
    2.0000       38.6102
