STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1939 FX        FX         47.65      0.2000E-001  1486.      0.6800

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   01:18:17  DEC 07, 2021 CP=   3538.531

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1939 FX
                  FX
   0.20000E-01   47.6502
   0.40000E-01   95.3005
   0.60000E-01   142.951
   0.80000E-01   190.601
   0.10000       238.251
   0.12000       285.901
   0.14000       333.552
   0.16000       381.202
   0.18000       428.852
   0.20000       476.502
   0.22000       524.153
   0.24000       571.803
   0.26000       619.453
   0.28000       667.103
   0.30000       714.754
   0.32000       762.404
   0.34000       810.054
   0.36000       857.704
   0.38000       905.354
   0.40000       953.005
   0.42000       1000.65
   0.44000       1048.31
   0.46000       1095.96
   0.48000       1142.34
   0.50000       1187.42
   0.52000       1228.14
   0.54000       1265.93
   0.56000       1290.77
   0.58000       1333.71
   0.60000       1377.18
   0.62000       1415.94
   0.64000       1451.85
   0.66000       1478.32
   0.68000       1485.82
   0.70000       1477.10
   0.72000       1467.45
   0.74000       1460.20
   0.76000       1436.86
   0.78000       1321.93
   0.80000       980.617
   0.82000       854.857
   0.84000       840.431
   0.86000       795.205
   0.88000       765.296
   0.90000       760.693
   0.92000       767.374
   0.94000       779.246
   0.96000       792.099
   0.98000       788.197
    1.0000       740.804

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   01:18:17  DEC 07, 2021 CP=   3538.531

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1939 FX
                  FX
    1.0200       587.817
    1.0400       470.220
    1.0600       374.954
    1.0800       276.225
    1.1000       213.094
    1.1200       195.874
    1.1400       179.741
    1.1600       165.641
    1.1800       156.788
    1.2000       139.625
    1.2200       140.403
    1.2400       141.528
    1.2600       143.309
    1.2800       145.542
    1.3000       147.594
    1.3200       149.625
    1.3400       151.633
    1.3600       153.619
    1.3800       155.416
    1.4000       157.436
    1.4200       159.410
    1.4400       161.259
    1.4600       163.039
    1.4800       164.968
    1.5000       166.408
    1.5200       168.044
    1.5400       170.050
    1.5600       171.852
    1.5800       173.699
    1.6000       175.146
    1.6200       176.727
    1.6400       178.481
    1.6600       175.147
    1.6800       168.620
    1.7000       156.879
    1.7200       157.559
    1.7400       159.027
    1.7600       159.715
    1.7800       161.300
    1.8000       162.866
    1.8200       164.573
    1.8400       166.291
    1.8600       167.923
    1.8800       169.634
    1.9000       171.167
    1.9200       172.487
    1.9400       173.602
    1.9600       174.628
    1.9800       175.603
    1.9900       176.243

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   01:18:17  DEC 07, 2021 CP=   3538.531

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1939 FX
                  FX
    1.9950       176.531
    1.9970       176.587
    1.9985       176.359
    2.0000       176.293
