STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR  1507 FX        FX         8.518       1.760       3071.       1.320

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:09:15  DEC 20, 2021 CP=   5018.859

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1507 FX
                  FX
   0.20000E-01   47.1650
   0.40000E-01   94.3301
   0.60000E-01   141.495
   0.80000E-01   188.660
   0.10000       235.825
   0.12000       282.990
   0.14000       330.155
   0.16000       377.320
   0.18000       424.485
   0.20000       471.650
   0.22000       518.815
   0.24000       565.980
   0.26000       613.145
   0.28000       660.310
   0.30000       707.475
   0.32000       754.640
   0.34000       801.793
   0.36000       848.938
   0.38000       896.036
   0.40000       943.090
   0.42000       990.169
   0.44000       1037.23
   0.46000       1084.24
   0.48000       1131.22
   0.50000       1178.29
   0.52000       1225.25
   0.54000       1272.34
   0.56000       1319.45
   0.58000       1366.46
   0.60000       1413.53
   0.62000       1460.56
   0.64000       1507.60
   0.66000       1554.66
   0.68000       1601.68
   0.70000       1648.59
   0.72000       1695.51
   0.74000       1742.52
   0.76000       1789.50
   0.78000       1836.45
   0.80000       1883.44
   0.82000       1930.43
   0.84000       1977.47
   0.86000       2024.50
   0.88000       2071.39
   0.90000       2118.36
   0.92000       2165.33
   0.94000       2212.25
   0.96000       2259.13
   0.98000       2305.90
    1.0000       2352.80

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:09:15  DEC 20, 2021 CP=   5018.859

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1507 FX
                  FX
    1.0200       2399.66
    1.0400       2446.29
    1.0600       2493.13
    1.0800       2539.95
    1.1000       2586.79
    1.1200       2633.32
    1.1400       2679.77
    1.1600       2726.10
    1.1800       2772.25
    1.2000       2818.20
    1.2200       2864.29
    1.2400       2910.17
    1.2600       2954.86
    1.2800       2997.99
    1.3000       3039.74
    1.3200       3071.18
    1.3400       2961.97
    1.3600       2358.23
    1.3800       1971.85
    1.4000       1611.48
    1.4200       1113.14
    1.4400       804.912
    1.4600       637.941
    1.4800       522.437
    1.5000       377.072
    1.5200       192.723
    1.5400       76.1485
    1.5600       36.1847
    1.5800       10.8769
    1.6000       9.10076
    1.6200       8.79191
    1.6400       8.61901
    1.6600       8.72187
    1.6800       8.61957
    1.7000       8.72147
    1.7200       8.82316
    1.7400       8.58283
    1.7600       8.51808
    1.7800       8.60386
    1.8000       8.68119
    1.8200       8.72086
    1.8400       8.79968
    1.8600       8.89504
    1.8800       8.78942
    1.9000       8.87414
    1.9200       8.93234
    1.9400       8.89179
    1.9600       8.98310
    1.9800       9.07477
    1.9900       9.12060

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   17:09:15  DEC 20, 2021 CP=   5018.859

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1507 FX
                  FX
    1.9950       9.14351
    1.9970       9.15249
    1.9985       9.15849
    2.0000       9.16537
