
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
   0.20000E-01   53.7518     
   0.40000E-01   107.504     
   0.60000E-01   161.255     
   0.80000E-01   215.007     
   0.10000       268.759     
   0.12000       322.511     
   0.14000       376.262     
   0.16000       430.014     
   0.18000       483.766     
   0.20000       537.518     
   0.22000       591.270     
   0.24000       645.018     
   0.26000       698.765     
   0.28000       752.516     
   0.30000       806.265     
   0.32000       860.016     
   0.34000       913.747     
   0.36000       967.445     
   0.38000       1021.09     
   0.40000       1074.75     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
   0.42000       1128.31     
   0.44000       1181.66     
   0.46000       1234.49     
   0.48000       1286.59     
   0.50000       1337.40     
   0.52000       1386.48     
   0.54000       1438.72     
   0.56000       1491.02     
   0.58000       1543.55     
   0.60000       1595.73     
   0.62000       1647.78     
   0.64000       1699.64     
   0.66000       1751.81     
   0.68000       1803.71     
   0.70000       1855.70     
   0.72000       1907.43     
   0.74000       1959.21     
   0.76000       2011.10     
   0.78000       2062.75     
   0.80000       2114.35     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
   0.82000       2165.99     
   0.84000       2217.54     
   0.86000       2269.27     
   0.88000       2321.02     
   0.90000       2372.67     
   0.92000       2424.09     
   0.94000       2475.18     
   0.96000       2525.34     
   0.98000       2571.19     
    1.0000       2604.24     
    1.0200       2597.83     
    1.0400       2479.60     
    1.0600       2006.39     
    1.0800       1505.97     
    1.1000       1252.82     
    1.1200       1091.55     
    1.1400       952.707     
    1.1600       808.604     
    1.1800       586.997     
    1.2000       453.853     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX      
                  FX      
    1.2200       396.306     
    1.2400       359.719     
    1.2600       327.998     
    1.2800       298.831     
    1.3000       277.673     
    1.3200       257.183     
    1.3400       236.600     
